id,target
38731,19192.75
38732,12270.0
38733,13309.25
38734,12552.0
38735,19655.75
38736,15399.0
38737,16601.75
38738,18551.5
38739,16460.5
38740,11995.25
38741,19278.25
38742,16620.25
38743,6013.0
38744,7470.25
38745,10029.25
38746,10900.5
38747,12402.25
38748,1867.75
38749,1062.0
38750,13381.5
38751,12693.25
38752,4516.25
38753,17416.25
38754,11767.75
38755,7747.5
38756,16567.75
38757,12066.5
38758,15689.75
38759,2092.5
38760,9933.0
38761,9103.25
38762,13859.25
38763,17601.75
38764,7081.25
38765,11285.0
38766,13669.0
38767,17280.0
38768,8485.25
38769,7764.5
38770,6597.0
38771,17024.0
38772,18724.75
38773,13560.75
38774,11686.75
38775,835.5
38776,9786.5
38777,18343.25
38778,10810.25
38779,6063.0
38780,5200.25
38781,15623.0
38782,10147.75
38783,16335.25
38784,6869.5
38785,3930.5
38786,18573.25
38787,14333.75
38788,7194.25
38789,7111.75
38790,4526.25
38791,17643.75
38792,14100.5
38793,19553.25
38794,4186.0
38795,9293.5
38796,13709.25
38797,10647.25
38798,13419.75
38799,10060.25
38800,18017.25
38801,5087.75
38802,19212.25
38803,404.25
38804,4222.5
38805,6532.5
38806,19436.5
38807,17080.0
38808,3032.5
38809,6623.0
38810,12034.75
38811,17275.75
38812,12382.75
38813,7145.5
38814,16735.0
38815,19576.0
38816,16684.25
38817,3681.75
38818,8879.75
38819,11469.0
38820,2984.0
38821,19569.75
38822,11812.75
38823,18569.25
38824,17273.0
38825,11647.5
38826,4078.5
38827,7715.75
38828,11065.25
38829,14935.25
38830,4832.25
38831,14591.75
38832,14885.0
38833,5390.5
38834,10841.25
38835,5109.25
38836,16196.0
38837,3979.5
38838,10931.0
38839,11605.5
38840,17623.0
38841,18811.0
38842,16282.25
38843,3405.25
38844,19154.25
38845,3606.75
38846,10712.75
38847,14693.0
38848,7165.75
38849,5307.25
38850,13852.25
38851,10490.5
38852,11974.0
38853,14427.0
38854,11011.0
38855,6451.25
38856,17034.5
38857,16479.75
38858,1299.25
38859,16455.75
38860,964.75
38861,3539.0
38862,18599.5
38863,16897.5
38864,16390.0
38865,9119.5
38866,7179.25
38867,6400.25
38868,432.75
38869,13554.5
38870,15514.0
38871,9466.75
38872,18579.0
38873,6710.0
38874,14634.25
38875,2934.0
38876,12922.25
38877,4381.0
38878,15673.5
38879,14145.25
38880,11983.75
38881,3190.25
38882,2786.5
38883,4031.25
38884,5344.25
38885,12036.25
38886,13927.25
38887,3506.25
38888,4127.0
38889,8280.25
38890,8731.75
38891,4524.5
38892,17484.25
38893,11389.25
38894,7568.25
38895,13613.75
38896,6155.0
